trial_id,patient_id,patient_start_date,patient_end_date,diagnosis,medication,dosage_mg,age,gender,country,national_id,trial_name,start_date,end_date
101,P095,2023-01-30,2023-04-08,Hypertension,Drug_C,204,53,M,Germany,6262513047F,New Drug Evaluation - Trial 101,2023-01-08,2023-05-05
119,P412,2023-02-24,2023-03-13,Hypertension,Drug_C,155,77,M,Germany,6376248051M,Low Dose - Trial 119,2023-02-11,2023-03-31
112,P403,2023-02-09,2023-03-12,Hypertension,Drug_D,139,48,M,Spain,69780999Q,New Drug Evaluation - Trial 112,2023-01-08,2023-03-21
106,P259,2023-02-27,2023-04-04,Hypertension,Drug_C,226,32,M,Spain,36717485I,Combination Therapy - Trial 106,2023-02-12,2023-04-17
109,P405,2023-03-02,2023-04-24,Hypertension,Drug_D,246,34,F,ARG,20-54843019-3,Low Dose - Trial 109,2023-03-01,2023-05-07
112,P396,2023-01-09,2023-03-16,Diabetes,Drug_E,132,50,F,ARG,23-96809353-9,New Drug Evaluation - Trial 112,2023-01-08,2023-03-21
109,P361,2023-03-03,2023-05-04,Cardiovascular,Drug_B,252,54,F,UK,FX217662H,Low Dose - Trial 109,2023-03-01,2023-05-07
117,P098,2023-01-30,2023-04-08,Cardiovascular,Drug_A,227,32,M,Germany,4430399628M,Low Dose - Trial 117,2023-01-22,2023-04-16
112,P047,2023-02-02,2023-03-20,Cardiovascular,Drug_A,329,68,M,UK,MP087005X,New Drug Evaluation - Trial 112,2023-01-08,2023-03-21
115,P328,2023-02-14,2023-04-18,Diabetes,Drug_E,266,43,F,ARG,27-15591084-6,Combination Therapy - Trial 115,2023-02-07,2023-05-17
103,P276,2023-03-18,2023-05-16,Diabetes,Drug_E,275,55,M,Spain,74410357H,High Dose - Trial 103,2023-02-22,2023-05-26
118,P332,2023-02-18,2023-04-15,Cardiovascular,Drug_A,442,22,M,ARG,20-37395717-0,New Drug Evaluation - Trial 118,2023-01-28,2023-05-28
111,P344,2023-02-16,2023-03-18,Hypertension,Drug_D,234,72,M,ARG,23-69262743-1,New Drug Evaluation - Trial 111,2023-01-19,2023-04-01
119,P223,2023-03-07,2023-03-31,Diabetes,Drug_E,285,32,M,UK,TM292514P,Low Dose - Trial 119,2023-02-11,2023-03-31
105,P305,2023-02-09,2023-03-01,Hypertension,Drug_C,140,40,M,UK,ZJ336200R,Combination Therapy - Trial 105,2023-01-02,2023-03-26
107,P179,2023-02-22,2023-03-28,Hypertension,Drug_D,100,30,F,UK,JM041374T,Low Dose - Trial 107,2023-01-11,2023-04-13
113,P067,2023-01-17,2023-02-12,Hypertension,Drug_C,236,75,F,Germany,4152070308F,Combination Therapy - Trial 113,2023-01-01,2023-02-18
107,P156,2023-01-13,2023-02-28,Cardiovascular,Drug_B,382,68,M,UK,PP389463Y,Low Dose - Trial 107,2023-01-11,2023-04-13
104,P199,2023-01-25,2023-02-18,Hypertension,Drug_D,258,31,M,MEX,PGTA429979HZH8IH,Long-Term Study - Trial 104,2023-01-23,2023-03-24
117,P169,2023-02-11,2023-04-01,Cardiovascular,Drug_A,451,59,F,UK,WF615996D,Low Dose - Trial 117,2023-01-22,2023-04-16
100,P178,2023-02-04,2023-02-21,Cardiovascular,Drug_B,475,49,M,Germany,2632907618M,High Dose - Trial 100,2023-02-04,2023-03-07
104,P025,2023-01-29,2023-02-20,Hypertension,Drug_C,109,71,M,Spain,53595624M,Long-Term Study - Trial 104,2023-01-23,2023-03-24
107,P422,2023-02-25,2023-03-17,Hypertension,Drug_D,168,63,M,ARG,27-31752328-6,Low Dose - Trial 107,2023-01-11,2023-04-13
